datetime	reltime	speed	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	asin	angle	angle_rad	error	integral	derivative	Kp	Ki	Kd	dt	diff_speed
2014-02-01_23:35:55_260718	6179492.6875	16.42	10.0	119.0	-197.0	-2.8091603053435112	6.984732824427481	-4.374045801526718	-0.520751953125	0.007568359375	0.5992431640625	0.0	0.0	-14.22	-18.774794984072475	-0.6550870545733593	18.774794984072475	342.3852830033416	17.47019537177389	0.0010000000000000057	1e-05	0.001	0.0670341796875	0.03966884318587989
2014-02-01_23:35:55_327268	6186126.0	16.46	131.0	96.0	-216.0	-3.50381679389313	8.732824427480915	1.984732824427481	-0.542236328125	0.131591796875	0.5628662109375	0.0	0.0	-11.3	-19.9060890984872	-0.694559982501298	19.9060890984872	343.7138346349194	16.950520328208608	0.0010000000000000057	1e-05	0.001	0.066740966796875	0.04029374777304512
2014-02-01_23:35:55_394406	6192839.984375	16.5	71.0	162.0	-221.0	-3.4122137404580153	4.885496183206107	-2.5419847328244276	-0.5584716796875	0.061767578125	0.58544921875	0.0	0.0	-20.2	-20.9822796908648	-0.7321102474132868	20.9822796908648	345.1076706725674	16.200565489789003	0.0010000000000000057	1e-05	0.001	0.06642919921875	0.040633921887379604
2014-02-01_23:35:55_461303	6199529.390625	16.52	23.0	94.0	-247.0	-4.587786259541985	2.480916030534351	-3.1755725190839694	-0.539794921875	0.050537109375	0.5750732421875	0.0	0.0	-11.05	-20.524453917380665	-0.7161358659239591	20.524453917380665	346.48201235940377	-6.837181815895175	0.0010000000000000057	1e-05	0.001	0.066961181640625	0.017152092225079643
2014-02-01_23:35:55_527860	6206184.796875	16.53	62.0	87.0	-291.0	-4.1679389312977095	1.8931297709923665	2.1526717557251906	-0.56591796875	-0.01171875	0.545654296875	0.0	0.0	-10.19	-19.897914515956234	-0.6942747563138951	19.897914515956234	347.8095034751759	-9.391269969569716	0.0010000000000000057	1e-05	0.001	0.066715087890625	0.01398473958113839
2014-02-01_23:35:55_594733	6212894.296875	16.55	75.0	165.0	-243.0	-2.854961832061069	-2.015267175572519	-3.4198473282442747	-0.53955078125	0.0426025390625	0.580078125	0.0	0.0	-20.66	-19.541565704292168	-0.6818410922642069	19.541565704292168	349.1099956269746	-5.3545988010375165	0.0010000000000000057	1e-05	0.001	0.066550048828125	0.017678066859524506
2014-02-01_23:35:55_661909	6219590.09375	16.55	129.0	75.0	-232.0	-4.412213740458015	-1.6106870229007633	-0.6946564885496184	-0.5592041015625	-0.042236328125	0.6083984375	0.0	0.0	-8.73	-18.11411103192742	-0.6320345789227989	18.11411103192742	350.31875432473424	-21.39142615989644	0.0010000000000000057	1e-05	0.001	0.066730224609375	0.00022587241527842472
2014-02-01_23:35:55_728854	6226285.203125	16.56	-45.0	102.0	-154.0	-3.816793893129771	-1.4274809160305344	0.5801526717557252	-0.582275390625	0.004150390625	0.569091796875	0.0	0.0	-12.04	-17.198369164215535	-0.600082664487632	17.198369164215535	351.47265740584584	-13.648691088393234	0.0010000000000000057	1e-05	0.001	0.06709375	0.007064404649880859
2014-02-01_23:35:55_795907	6232989.796875	16.58	55.0	127.0	-195.0	-5.114503816793893	0.5343511450381679	2.0916030534351147	-0.6361083984375	0.2115478515625	0.90185546875	0.0	0.0	-15.27	-17.120624169720777	-0.5973699989435024	17.120624169720777	352.6145562237595	-1.1656399069172139	0.0010000000000000057	1e-05	0.001	0.066697265625	0.019481129825041254
2014-02-01_23:35:55_862837	6239683.390625	16.59	59.0	93.0	-264.0	-3.1068702290076335	-0.5801526717557252	0.5190839694656488	-0.58251953125	0.1700439453125	0.806396484375	0.0	0.0	-10.92	-16.375841331892467	-0.5713831588238824	16.375841331892467	353.7100344415297	-11.13344417182383	0.0010000000000000057	1e-05	0.001	0.06689599609375	0.008779497504484026
2014-02-01_23:35:55_929785	6246378.8125	16.62	53.0	174.0	-240.0	-2.7709923664122136	0.5038167938931297	-3.7099236641221376	-0.533935546875	0.2149658203125	0.7799072265625	0.0	0.0	-22.06	-17.053351647783167	-0.5950227371871307	17.053351647783167	354.8523716872232	10.114195002781987	0.0010000000000000057	1e-05	0.001	0.066986083984375	0.03071607036743748
2014-02-01_23:35:55_996761	6253078.296875	16.64	41.0	105.0	-252.0	-4.679389312977099	4.0458015267175576	0.0916030534351145	-0.586181640625	0.0401611328125	0.7735595703125	0.0	0.0	-12.42	-17.460012412128915	-0.6092118776039398	17.460012412128915	356.01650181654816	6.099233937978755	0.0010000000000000057	1e-05	0.001	0.066674072265625	0.02711941136827325
2014-02-01_23:35:56_063867	6259786.796875	16.66	85.0	82.0	-205.0	-4.145038167938932	2.946564885496183	0.06870229007633588	-0.57177734375	0.1451416015625	0.7587890625	0.0	0.0	-9.58	-17.30733943865307	-0.6038848373570506	17.30733943865307	357.17431042972817	-2.2822105009198936	0.0010000000000000057	1e-05	0.001	0.06689697265625	0.018596872042030553
2014-02-01_23:35:56_130816	6266481.1875	16.69	79.0	150.0	-236.0	-3.969465648854962	2.49618320610687	-2.763358778625954	-0.5313720703125	0.005859375	0.6148681640625	0.0	0.0	-18.44	-17.959657233998136	-0.6266454024423634	17.959657233998136	358.37658144883164	9.744395253551783	0.0010000000000000057	1e-05	0.001	0.06694287109375	0.031287818302038334
2014-02-01_23:35:56_197734	6273172.78125	16.71	76.0	85.0	-215.0	-4.175572519083969	1.5190839694656488	-0.1450381679389313	-0.5853271484375	0.00244140625	0.66552734375	0.0	0.0	-9.94	-17.484626330094617	-0.6100707023759462	17.484626330094617	359.5427368719858	-7.122324936357936	0.0010000000000000057	1e-05	0.001	0.066696044921875	0.013957728762456639
2014-02-01_23:35:56_264591	6279858.5	16.72	153.0	92.0	-315.0	-4.427480916030534	0.6564885496183206	0.0916030534351145	-0.533935546875	-0.07421875	0.53076171875	0.0	0.0	-10.8	-16.957647918739497	-0.5916834584347347	16.957647918739497	360.6756452026429	-7.887941255894743	0.0010000000000000057	1e-05	0.001	0.06680810546875	0.01267646311487128
