datetime	reltime	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	angle	error	integral	derivative	Kp	Ki	Kd	pid_output	target_angleRate2	error2	integral2	derivative2	Kp2	Ki2	Kd2	pid_output2	pitch_offset_force	pitch_offset	dt	m1_pos	m2_pos	m1_percent	m2_percent	sleep_time	sensor_time	getch_time	pid_time	motors_time	curses_time
2014-06-12_22:45:07_775816	2098578.0	0.0	0.0	0.0	-3.949	-32.74	-4.07	-0.157	0.009	-0.695	0.0	90.0	-7.231	7.231	1000.0	-32.74	0.08	0.0	0.0	0.588	0.588	0	0	0	0.08	0.0	0.0	0.0	0.0	0.588	20.307	240.0	248.0	0.054	0.076	-0.0102	0.0063	0.0036	0.0002	0.0034	0.0053
2014-06-12_22:45:07_796147	2118996.0	0.0	0.0	0.0	1.181	-30.022	-3.673	-0.231	0.31	-0.887	0.0	90.0	-4.693	4.693	1000.0	-30.022	0.08	0.0	0.0	0.385	0.385	0	0	0	0.08	0.0	0.0	0.0	0.0	0.385	20.166	241.0	247.0	0.056	0.073	-0.0101	0.0063	0.0035	0.0002	0.0035	0.0053
2014-06-12_22:45:07_816586	2139383.0	0.0	0.0	0.0	0.677	-35.648	-2.459	-0.295	0.507	-0.807	0.0	90.0	-2.093	2.093	1000.0	-35.648	0.08	0.0	0.0	0.177	0.177	0	0	0	0.08	0.0	0.0	0.0	0.0	0.177	20.209	242.0	246.0	0.058	0.071	-0.0102	0.0063	0.0035	0.0002	0.0034	0.0054
2014-06-12_22:45:07_837087	2159854.0	0.0	0.0	0.0	2.212	-29.206	-2.734	-0.146	0.404	-1.035	0.0	90.0	0.326	-0.326	993.417	-29.206	0.08	0.0	0.0	-0.016	-0.016	0	0	0	0.08	0.0	0.0	0.0	0.0	-0.016	20.174	242.0	246.0	0.06	0.069	-0.0102	0.0063	0.0034	0.0002	0.0036	0.0053
2014-06-12_22:45:07_857804	2180573.0	0.0	0.0	0.0	0.38	-25.351	1.014	-0.121	-0.538	-0.961	0.0	90.0	2.637	-2.637	938.545	-25.351	0.08	0.0	0.0	-0.202	-0.202	0	0	0	0.08	0.0	0.0	0.0	0.0	-0.202	20.811	243.0	245.0	0.062	0.067	-0.0105	0.0064	0.0039	0.0002	0.0035	0.0053
2014-06-12_22:45:07_878605	2201370.0	0.0	0.0	0.0	-0.979	-41.374	3.228	0.003	-0.572	-0.958	0.0	-89.46	1.618	-1.618	905.666	-41.374	0.08	0.0	0.0	-0.12	-0.12	0	0	0	0.08	0.0	0.0	0.0	0.0	-0.12	20.315	243.0	245.0	0.061	0.068	-0.0105	0.0063	0.0037	0.0002	0.0034	0.0056
2014-06-12_22:45:07_899056	2221823.0	0.0	0.0	0.0	-5.552	-43.076	2.602	-0.246	-0.703	-0.807	0.0	90.0	4.252	-4.252	818.449	-43.076	0.08	0.0	0.0	-0.332	-0.332	0	0	0	0.08	0.0	0.0	0.0	0.0	-0.332	20.512	244.0	244.0	0.063	0.065	-0.0103	0.0064	0.0035	0.0002	0.0036	0.0053
2014-06-12_22:45:07_919734	2242528.0	0.0	0.0	0.0	-1.323	-37.19	0.091	-0.31	-0.411	-1.301	0.0	90.0	6.716	-6.716	680.474	-37.19	0.08	0.0	0.0	-0.53	-0.53	0	0	0	0.08	0.0	0.0	0.0	0.0	-0.53	20.545	244.0	243.0	0.065	0.063	-0.0104	0.0064	0.0037	0.0002	0.0034	0.0054
2014-06-12_22:45:07_940233	2263002.0	0.0	0.0	0.0	1.372	-26.465	-0.772	-0.304	-0.082	-1.437	0.0	90.0	8.909	-8.909	499.264	-26.465	0.08	0.0	0.0	-0.708	-0.708	0	0	0	0.08	0.0	0.0	0.0	0.0	-0.708	20.34	245.0	243.0	0.067	0.061	-0.0102	0.0063	0.0036	0.0002	0.0035	0.0053
2014-06-12_22:45:07_960615	2283383.0	0.0	0.0	0.0	0.089	-25.297	-2.23	-0.359	0.268	-1.105	0.0	90.0	11.032	-11.032	276.273	-25.297	0.08	0.0	0.0	-0.88	-0.88	0	0	0	0.08	0.0	0.0	0.0	0.0	-0.88	20.213	246.0	242.0	0.069	0.059	-0.0102	0.0063	0.0035	0.0002	0.0034	0.0054
2014-06-12_22:45:07_981162	2303928.0	0.0	0.0	0.0	1.128	-33.74	-2.535	-0.445	0.438	-0.761	0.0	90.0	13.283	-13.283	6.284	-33.74	0.08	0.0	0.0	-1.063	-1.063	0	0	0	0.08	0.0	0.0	0.0	0.0	-1.063	20.325	246.0	241.0	0.071	0.057	-0.0103	0.0063	0.0036	0.0002	0.0035	0.0054
2014-06-12_22:45:08_001785	2324550.0	0.0	0.0	0.0	-3.048	-31.48	-2.604	-0.432	0.321	-0.797	0.0	90.0	15.452	-15.452	-311.171	-31.48	0.08	0.0	0.0	-1.239	-1.239	0	0	0	0.08	0.0	0.0	0.0	0.0	-1.239	20.545	247.0	240.0	0.072	0.055	-0.0104	0.0064	0.0037	0.0002	0.0036	0.0052
2014-06-12_22:45:08_022194	2345007.0	0.0	0.0	0.0	-2.956	-28.526	-1.23	-0.407	0.215	-1.005	0.0	90.0	17.51	-17.51	-666.736	-28.526	0.08	0.0	0.0	-1.408	-1.408	0	0	0	0.08	0.0	0.0	0.0	0.0	-1.408	20.306	248.0	240.0	0.074	0.053	-0.0102	0.0063	0.0037	0.0002	0.0034	0.0053
2014-06-12_22:45:08_042750	2365514.0	0.0	0.0	0.0	0.151	-16.145	0.129	-0.222	0.314	-1.215	0.0	90.0	19.283	-19.283	-1000.0	-16.145	0.08	0.0	0.0	-1.553	-1.553	0	0	0	0.08	0.0	0.0	0.0	0.0	-1.553	20.395	248.0	239.0	0.076	0.051	-0.0104	0.0064	0.0036	0.0002	0.0035	0.0052
2014-06-12_22:45:08_063375	2386146.0	0.0	0.0	0.0	-3.857	-24.496	-0.596	-0.24	0.257	-1.034	0.0	90.0	21.186	-21.186	-1000.0	-24.496	0.08	0.0	0.0	-1.705	-1.705	0	0	0	0.08	0.0	0.0	0.0	0.0	-1.705	20.348	249.0	238.0	0.077	0.049	-0.0103	0.0063	0.0036	0.0002	0.0035	0.0053
