datetime	reltime	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	asin	angle	angle_rad	error	integral	derivative	Kp	Ki	Kd	dt	diff_speed	Motor0	Motor1
2014-03-08_09:49:44_527163	54513988.0	94.0	24.0	-237.0	-2.3980916030534343	-42.255152671755724	3.767557251908397	0.56650390625	-0.16845703125	-0.835205078125	0.0	-21.64	0.0	-28.582787867749264	-0.49882701339876556	28.582787867749264	68434.72005169207	-42.255152671755724	0.001	0	0.0	50.139892578125	0.028582787867749263	232	229
2014-03-08_09:49:44_577589	54564408.0	170.0	-21.0	-256.0	-1.9935114503816789	-46.48416030534351	2.820992366412214	0.478125	0.071044921875	-0.626220703125	0.0	-33.59	0.0	-26.404011749244717	-0.46080299736901775	26.404011749244717	69755.60394609899	-46.48416030534351	0.001	0	0.0	50.02587890625	0.026404011749244716	233	229
2014-03-08_09:49:44_627848	54614670.0	101.0	-58.0	-256.0	0.2278625954198481	-53.73606870229008	0.981297709923664	0.450048828125	0.23046875	-0.7734375	0.0	-21.53	0.0	-23.66703172658458	-0.4130372029072352	23.66703172658458	70941.86768672269	-53.73606870229008	0.001	0	0.0	50.123046875	0.02366703172658458	233	229
2014-03-08_09:49:44_677936	54664758.0	102.0	38.0	-256.0	1.7622137404580158	-58.14064885496184	-1.9118320610687025	0.281103515625	0.33056640625	-0.9150390625	0.0	-21.73	0.0	-20.78137390233251	-0.36267668241417994	20.78137390233251	71980.18549235261	-58.14064885496184	0.001	0	0.0	49.9638671875	0.020781373902332513	233	229
2014-03-08_09:49:44_728857	54716166.0	98.0	8.0	-251.0	1.082824427480917	-67.04141221374046	-2.78206106870229	0.12021484375	0.232666015625	-1.093017578125	0.0	-21.33	0.0	-17.48357671976016	-0.3051235029626555	17.48357671976016	72860.67736788372	-67.04141221374046	0.001	0	0.0	50.361083984375	0.01748357671976016	233	229
2014-03-08_09:49:44_778363	54765186.0	124.0	-109.0	-250.0	1.0064885496183211	-74.20935114503817	-1.8812977099236643	0.0054687499999999944	0.0283203125	-0.965087890625	0.0	-26.38	0.0	-14.041311480314336	-0.2450490659740722	14.041311480314336	73559.65426474031	-74.20935114503817	0.001	0	0.0	49.780029296875	0.014041311480314336	233	229
2014-03-08_09:49:44_828786	54815610.0	13.0	99.0	-253.0	-1.0087786259541978	-76.19408396946565	5.599618320610687	0.060644531249999994	-0.015869140625	-1.081787109375	0.0	-2.94	0.0	-10.065628126480053	-0.17566541232949484	10.065628126480053	74065.6560446815	-76.19408396946565	0.001	0	0.0	50.270263671875	0.010065628126480054	233	229
2014-03-08_09:49:44_878712	54865563.0	25.0	-3.0	-272.0	-1.8026717557251906	-85.47652671755725	6.111068702290076	0.311376953125	-0.44921875	-1.051513671875	0.0	-5.25	0.0	-5.800675319322646	-0.10123342616618929	5.800675319322646	74354.32744500868	-85.47652671755725	0.001	0	0.0	49.76513671875	0.0058006753193226455	233	229
2014-03-08_09:49:44_928526	54915352.0	62.0	-64.0	-272.0	0.35000000000000053	-93.21698473282443	3.8057251908396945	0.43076171875	-0.519775390625	-0.89013671875	0.0	-12.84	0.0	-1.345537385859773	-0.0234823278509559	1.345537385859773	74422.02150973136	-93.21698473282443	0.001	0	0.0	50.31005859375	0.0013455373858597731	233	229
2014-03-08_09:49:44_978567	54965390.0	-50.0	41.0	-257.0	2.2660305343511458	-95.7895038167939	2.729389312977099	0.125341796875	0.09765625	-1.064208984375	0.0	11.01	0.0	3.5687030160736475	0.06228102994892928	-3.5687030160736475	74244.59615550864	-95.7895038167939	0.001	0	0.0	49.717041015625	-0.0035687030160736475	233	229
2014-03-08_09:49:45_029209	55016093.0	-24.0	-41.0	-273.0	0.26603053435114576	-99.52996183206106	4.072900763358779	-0.344384765625	0.05322265625	-1.080322265625	0.0	5.02	0.0	8.51584015761273	0.14861850187805814	-8.51584015761273	73815.21984381166	-99.52996183206106	0.001	0	0.0	50.4208984375	-0.00851584015761273	233	229
2014-03-08_09:49:45_079124	55065946.0	-7.0	-85.0	-248.0	-1.2759541984732814	-104.33148854961831	3.477480916030534	-0.661767578125	0.467529296875	-0.85009765625	0.0	1.62	0.0	13.472930540382785	0.23512967784263153	-13.472930540382785	73143.83634809422	-104.33148854961831	0.001	0	0.0	49.83203125	-0.013472930540382786	233	229
2014-03-08_09:49:45_129744	55116559.0	-67.0	-128.0	-257.0	-1.3522900763358776	-108.40019083969466	1.5538167938931298	-0.5541015625	0.476806640625	-0.75048828125	0.0	14.61	0.0	18.81107349552234	0.3282909859602503	-18.81107349552234	72202.62134651553	-108.40019083969466	0.001	0	0.0	50.03515625	-0.01881107349552234	233	229
2014-03-08_09:49:45_179404	55166223.0	-113.0	90.0	-245.0	2.846183206106871	-109.78187022900764	3.416412213740458	-0.136376953125	-0.8486328125	-0.99609375	0.0	24.76	0.0	24.293489017922646	0.423970139928842	-24.293489017922646	70991.54109834031	-109.78187022900764	0.001	0	0.0	49.85205078125	-0.024293489017922647	233	229
2014-03-08_09:49:45_230587	55217400.0	-175.0	75.0	-208.0	7.212595419847329	-119.29332061068702	5.645419847328244	-0.17861328125	-0.299072265625	-1.175048828125	0.0	40.08	0.0	30.4618096259247	0.5316197142395236	-30.4618096259247	69466.56162787294	-119.29332061068702	0.001	0	0.0	50.06201171875	-0.0304618096259247	233	229
2014-03-08_09:49:45_279932	55266751.0	-126.0	-129.0	-238.0	-1.2683206106870224	-124.6368320610687	1.9889312977099234	-0.57119140625	-0.358642578125	-1.031982421875	0.0	27.9	0.0	36.53303273598176	0.6375747423382507	-36.53303273598176	67635.34336198185	-124.6368320610687	0.001	0	0.0	50.125	-0.03653303273598176	232	229
2014-03-08_09:49:45_330637	55317487.0	-145.0	-29.0	-206.0	-7.115648854961831	-123.75896946564885	0.2866412213740457	-0.94521484375	0.441162109375	-0.387939453125	0.0	35.14	0.0	42.56762876863797	0.7428905544264917	-42.56762876863797	65507.59586528699	-123.75896946564885	0.001	0	0.0	49.985107421875	-0.04256762876863797	232	230
